Asset No.,SNo.,Capitalization Date,Quantity,BUn,Asset Description,ODep.Start,   Cum.acq.value,      Accum.dep.,    End book val,Life,Class,Asset Class Description,Cost Ctr,Cost Center Desc,Dept,Location,GL Account,GL Account Description,  Start book.val,   Trans.acq.val,         PlndDep,   Pld.unpl.dep., Sep.pln.ord.dep, Sep.cum.ord.dep, Sep.cum.acq.val,   Trns.ord.dep.
2388,0,9/2/1988,2,PC,Oscilloscope Tpye LBD-518 100MHZ,9/2/1988,"154,318.00","-154,317.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-2,447.00","2,448.00",0
2382,0,11/26/1988,2,PC,"Hammer Rawhide Face 2-3/4,6-1/4",11/26/1988,"6,545.00","-6,544.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-4,357.25","4,358.25",0
2383,0,11/26/1988,4,PC,Crimping Tools MH-11/83-001,11/26/1988,"12,800.00","-12,799.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-17,457.00","17,458.00",0
2379,0,12/31/1988,1,PC,SPM Bearing Analyzer BEA-52,12/31/1988,"98,181.82","-98,180.82",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-71,441.00","71,442.00",0
2380,0,12/31/1988,1,PC,Dual Trace Oscilloscope,12/31/1988,"20,000.82","-19,999.82",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-37,466.36","37,467.36",0
2377,0,7/31/1989,1,PC,Plier Retaining Ring 150mm w/ 7 tip,7/31/1989,"2,978.18","-2,977.18",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-2,699.00","2,700.00",0
2376,0,5/18/1991,2,PC,Threader Pipe 1/8 to 1 cap,5/18/1991,"19,636.36","-19,635.36",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-2,349.00","2,350.00",0
2372,0,9/8/1992,1,PC,Hydraulic Puller 30T Cap Master,9/8/1992,"87,762.49","-87,761.49",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-9,143.38","9,144.38",0
2370,0,2/4/1993,1,PC,Benders Hydraulic Pipe Izume CAT,2/4/1993,"90,962.40","-90,961.40",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-25,174.00","25,175.00",0
2371,0,2/4/1993,1,PC,Hydraulic Hand Crimping Tool,2/4/1993,"20,080.00","-20,079.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-7,324.08","7,325.08",0
2369,0,1/3/1994,1,PC,Portable Infrared Thermal Scanner,1/3/1994,"113,636.36","-113,635.36",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-8,639.00","8,640.00",0
2367,0,6/19/1995,1,PC,"Utility Press Drill,15,Five-Speed",6/19/1995,"12,607.27","-12,606.27",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-195,950.73","195,951.73",0
2365,0,1/15/1996,1,PC,"Heater,SKF Bearing Induction",1/15/1996,"166,363.64","-166,362.64",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-14,589.80","14,590.80",0
2363,0,9/20/1996,1,PC,"Tester,Megger Insulation,500VDC",9/20/1996,"21,405.45","-21,404.45",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-5,021.73","5,022.73",0
2270,0,5/31/2000,,,Resistance Decadence Box,6/1/2000,"22,197.56","-22,197.56",0,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-206,827.09","206,828.09",0
2359,0,5/31/2000,,,Resistance Decadence Box,5/31/2000,"22,197.56","-22,197.56",0,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-4,006.63","4,007.63",0
2358,0,7/6/2000,1,PC,Digital Tachometer,7/6/2000,"10,110.52","-10,109.52",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-37,999.00","38,000.00",0
2357,0,7/31/2000,1,PC,Digital Multimeter Type 1906,7/31/2000,"34,473.60","-34,472.60",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-237,285.36","237,286.36",0
2354,0,8/18/2000,1,PC,Puller Combination 2-jaw,8/18/2000,"8,281.64","-8,280.64",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-154,317.00","154,318.00",0
2334,0,1/26/2006,1,PC,Portable Grease gun battery operated,2/1/2006,"18,909.09","-18,908.09",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-18,287.76","18,288.76",0
2344,0,11/15/2006,,,UL Transidyn (1-pc Electric Hoist 2-ton cap),11/1/2006,"87,525.04","-87,524.04",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-18,732.68","18,733.68",0
2989,0,2/1/2013,1,SET,"OIL TESTER, PORTABLE, DIELECTRIC, BA80 (ELE)",10/1/2012,"468,750.00","-468,749.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-8,919.80","8,920.80",0
3235,0,7/31/2014,1,UN,"DIGITAL CLAMP METER, DCM400 SERIES (ELE)",8/1/2014,"6,285.00","-6,284.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-153,818.10","153,819.10",0
3270,0,9/30/2014,1,UN,"MILLIAMP (mA)  PROCESS CLAMP METER, FLUKE 771 (ELE",10/1/2014,"27,060.00","-27,059.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-98,730.15","98,731.15",0
3271,0,9/30/2014,1,UN,"MILLIAMP (mA)  PROCESS CLAMP METER, FLUKE 771 (ELE",10/1/2014,"27,060.00","-27,059.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-2,208.00","2,209.00",0
3295,0,11/30/2014,1,UN,"LASER DISTANCE METER, BRAND – FLUKE 414D (ELE)",11/1/2014,"7,189.00","-7,188.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-6,544.00","6,545.00",0
3297,0,11/30/2014,1,UN,"KNIPEX CRIMP TOOL, PART NO. 97 52 10 (ELE)",11/1/2014,"9,749.00","-9,748.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-12,799.00","12,800.00",0
3473,0,9/30/2015,1,UN,AHD HYBRID CCTV TEST MONITOR (ELE),10/1/2015,"9,860.00","-9,859.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-10,449.47","10,450.47",0
3480,0,10/31/2015,1,UN,"DRILL HAMMER, MODEL #HR 2020, BRAND-MAKITA (ELE)",10/1/2015,"8,500.00","-8,499.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-98,180.82","98,181.82",0
3672,0,6/30/2017,1,UN,MULTIFUNCTION CA150 CALIBRATOR – BRAND: YOKOGAWA,6/1/2017,"116,865.07","-116,864.07",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-19,999.82","20,000.82",0
3764,0,5/31/2018,1,UN,"WEIGHING SCALE, SARTORIUS MIDRICS, CAP: 60KG",5/1/2018,"150,000.00","-149,999.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-12,913.00","12,914.00",0
3949,0,1/31/2020,1,UN,SKF MICROLOG ANALYZER GXCMXA75-F-K-SL; CAPEX200235,1/1/2020,"1,800,000.00","-1,799,999.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-235,691.65","235,692.65",0
4154,0,10/31/2022,1,PC,COMMUNICATOR; BRAIN TERMINAL BT200-N00 YOKOGAWA,11/1/2022,"117,803.23","-51,049.23","66,754.00",005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-99,139.56","99,140.56",0
4207,0,4/30/2023,1,PC,INFRARED SENSOR; FLUKE THERMALERT 4.0 PYROMETER,3/1/2023,"231,931.00","-85,041.00","146,890.00",005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-353,960.33","353,961.33",0
4295,0,12/31/2023,1,PC,"VACUUM CALIBRATION PUMP, BEAMEX PGV (ELE)",12/1/2023,"75,000.00","-16,250.00","58,750.00",005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-241,725.73","241,726.73",0
4375,0,9/30/2024,1,SET,"BATTERY ANALYZER, FLUKE BT521 WITH PROBE SET",8/1/2024,"387,319.00","-32,277.00","355,042.00",005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-172,092.04","172,093.04",0
2654,0,1/22/1994,,,Physical Fitness Instruments,1/22/1994,"32,710.11","-32,710.11",0,005/000,30700040,GEN-Tools and equipment,17000,GENERAL PLANT - SP,HRGA,GPLANT,164500,Tools and Equipment,1,0,0,0,0,"-101,010.14","101,011.14",0
2658,0,6/30/1995,1,PC,Mini Oil-Water Separator at Uniflow,6/30/1995,"33,315.56","-33,314.56",1,005/000,30700040,GEN-Tools and equipment,15100,FOOD SERVICES,HRGA,KITCHEN,164500,Tools and Equipment,1,0,0,0,0,"-56,104.28","56,105.28",0
2659,0,6/30/1995,,,Add'l cost to Fire Fighting Equipt,6/30/1995,"78,909.08","-78,908.08",1,005/000,30700040,GEN-Tools and equipment,17000,GENERAL PLANT - SP,HRGA,GPLANT,164500,Tools and Equipment,1,0,0,0,0,"-8,808.04","8,809.04",0
2660,0,6/30/1995,1,PC,Fire Fighting Equipment,6/30/1995,"55,107.27","-55,106.27",1,005/000,30700040,GEN-Tools and equipment,17000,GENERAL PLANT - SP,HRGA,GPLANT,164500,Tools and Equipment,1,0,0,0,0,"-5,871.80","5,872.80",0
2661,0,6/30/1995,,,Add'l Cost to Fire Fighting Equipment,6/30/1995,"24,272.73","-24,271.73",1,005/000,30700040,GEN-Tools and equipment,17000,GENERAL PLANT - SP,HRGA,GPLANT,164500,Tools and Equipment,1,0,0,0,0,"-2,740.57","2,741.57",0
2650,0,8/13/1999,1,PC,Search Light TG-14,8/13/1999,"26,363.63","-26,362.63",1,005/000,30700040,GEN-Tools and equipment,17000,GENERAL PLANT - SP,HRGA,GPLANT,164500,Tools and Equipment,1,0,0,0,0,"-34,455.14","34,456.14",0
2281,0,6/30/2002,,,Mini Oil-Water Separator at Uniflow,7/1/2002,"33,314.56","-33,314.56",0,005/000,30700040,GEN-Tools and equipment,15100,FOOD SERVICES,HRGA,KITCHEN,164500,Tools and Equipment,1,0,0,0,0,"-2,977.18","2,978.18",0
3241,0,7/31/2014,1,UN,"HAND DRYER, WALL MOUNTED (HRGA)",8/1/2014,"7,500.00","-7,499.00",1,005/000,30700040,GEN-Tools and equipment,11300,PERSONNEL - SP,HRGA,ADM BLDG,164500,Tools and Equipment,1,0,0,0,0,"-32,730.33","32,731.33",0
3244,0,7/31/2014,1,UN,LADDER ALUMINUM – 12 STEPS (HRGA),8/1/2014,"8,419.75","-8,418.75",1,005/000,30700040,GEN-Tools and equipment,11300,PERSONNEL - SP,HRGA,ADM BLDG,164500,Tools and Equipment,1,0,0,0,0,"-44,799.00","44,800.00",0
3324,0,12/31/2014,3,UN,EXTENSION FIBERGLASS LADDER @ JSH – SURE STEP (HRG,6/1/2014,"29,250.00","-29,249.00",1,005/000,30700040,GEN-Tools and equipment,11000,JAPANESE STAFFHOUSE,HRGA,STAFFHSE,164500,Tools and Equipment,1,0,0,0,0,"-32,730.33","32,731.33",0
3325,0,12/31/2014,2,UN,JSH INSTALLATION OF  ELECTRONIC DOOR LOCK (HRGA),12/1/2014,"70,519.17","-70,518.17",1,010/000,30700040,GEN-Tools and equipment,11000,JAPANESE STAFFHOUSE,HRGA,STAFFHSE,164500,Tools and Equipment,1,0,0,0,0,"-10,385.55","10,386.55",0
3379,0,4/30/2015,1,UN,EMERGENCY ESCAPE LADDER @ JSH (HRGA),4/1/2015,"7,099.75","-7,098.75",1,003/000,30700040,GEN-Tools and equipment,11000,JAPANESE STAFFHOUSE,HRGA,STAFFHSE,164500,Tools and Equipment,1,0,0,0,0,"-4,204.45","4,205.45",0
3390,0,5/31/2015,1,UN,"HAND DRYER – AUTOMATIC, BRAND - ALPHA (HRGA)",6/1/2015,"7,500.00","-7,499.00",1,005/000,30700040,GEN-Tools and equipment,11300,PERSONNEL - SP,HRGA,ADM BLDG,164500,Tools and Equipment,1,0,0,0,0,"-41,999.00","42,000.00",0
2875,0,12/31/2011,1,PC,"SOLDERING STATION, 230V 80W",1/1/2012,"23,530.00","-23,529.00",1,005/000,30700040,GEN-Tools and equipment,52000,ITG,ITG,BPI,164500,Tools and Equipment,1,0,0,0,0,"-30,200.72","30,201.72",0
2407,0,5/6/1986,1,PC,Electric Drill,5/6/1986,"2,950.00","-2,949.00",1,005/000,10700040,FOH-Tools and equipment,20540,LABORATORY,LAB,LABORATORY,164500,Tools and Equipment,1,0,0,0,0,"-8,589.91","8,590.91",0
2298,0,6/26/2003,1,PC,Noise Level Meter,7/1/2003,"68,363.64","-68,362.64",1,005/000,10700040,FOH-Tools and equipment,20540,LABORATORY,LAB,LABORATORY,164500,Tools and Equipment,1,0,0,0,0,"-6,344.45","6,345.45",0
3187,0,4/30/2014,1,UN,GLASS BODY REFILLABLE pH ELECTRODE (LAB),5/1/2014,"16,750.00","-16,749.00",1,005/000,10700040,FOH-Tools and equipment,20540,LABORATORY,LAB,LABORATORY,164500,Tools and Equipment,1,0,0,0,0,"-6,344.45","6,345.45",0
3494,0,4/1/2015,1,UN,REPLACEMENT OF TOP LOADING BALANCE (LAB),4/1/2015,"61,329.00","-61,328.00",1,005/000,10700040,FOH-Tools and equipment,20540,LABORATORY,LAB,SAMPLING,164500,Tools and Equipment,1,0,0,0,0,"-4,844.46","4,845.46",0
3496,0,4/1/2015,1,UN,SMALL EIRICH MIXER EQUIPMENT w/ TRANSFORMER (LAB),4/1/2015,"5,349,292.41","-2,607,783.41","2,741,509.00",020/000,10700040,FOH-Tools and equipment,20540,LABORATORY,LAB,LABORATORY,164500,Tools and Equipment,1,0,0,0,0,"-4,844.45","4,845.45",0
3809,0,12/31/2018,1,PC,ROTOR TOOL R082351200NJ01 FOR LAB HIGH SPEED MIXER,11/1/2018,"263,414.77","-263,413.77",1,005/000,10700040,FOH-Tools and equipment,20540,LABORATORY,LAB,LABORATORY,164500,Tools and Equipment,1,0,0,0,0,"-382,729.12","382,730.12",0
4369,0,8/31/2024,1,SET,"TEST WEIGHTS SET (1MG TO 1KG), W/ DKD CALIBRATION",5/1/2024,"109,658.93","-14,621.93","95,037.00",005/000,10700040,FOH-Tools and equipment,20540,LABORATORY,LAB,LABORATORY,164500,Tools and Equipment,1,0,0,0,0,"-6,434.14","6,435.14",0
4390,0,10/31/2024,1,PC,"CARBON-SULFUR ANALYZER, INFRARED 2000°C 50HZ SUNDY",10/1/2024,"2,515,909.80","-125,795.80","2,390,114.00",005/000,10700040,FOH-Tools and equipment,20540,LABORATORY,LAB,LABORATORY,164500,Tools and Equipment,1,0,0,0,0,"-38,903.55","38,904.55",0
2591,0,9/16/1985,1,PC,Rockwell Hardness Tester,9/16/1985,"12,500.00","-12,499.00",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-26,220.22","26,221.22",0
2592,0,9/16/1985,1,PC,Portable Hardness Tester,9/16/1985,"42,000.00","-41,999.00",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-26,220.22","26,221.22",0
2590,0,9/27/1985,1,PC,Atlas Copco Pneumatic Impact Wrench,9/27/1985,"45,934.56","-45,933.56",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-17,826.27","17,827.27",0
2585,0,12/31/1985,1,PC,Tools for TH Brake 25/40 BS,12/31/1985,"9,293.71","-9,292.71",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-9,353.55","9,354.55",0
2586,0,12/31/1985,1,PC,Tools for TH Brake 260 BS,12/31/1985,"9,293.71","-9,292.71",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-34,335.09","34,336.09",0
2587,0,12/31/1985,1,PC,Tools for TH Brake 120 BS,12/31/1985,"9,293.72","-9,292.72",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-251,862.64","251,863.64",0
2588,0,12/31/1985,1,PC,Tools for TH Brake 40 BS,12/31/1985,"9,293.71","-9,292.71",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-22,703.54","22,704.54",0
2589,0,12/31/1985,1,PC,Tools for TH Brake 450 BS,12/31/1985,"9,293.71","-9,292.71",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-22,703.54","22,704.54",0
2583,0,7/23/1986,4,PC,Std. Socket Wrench 1/2 Drive,7/23/1986,"9,628.97","-9,627.97",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-18,453.54","18,454.54",0
2584,0,7/23/1986,1,PC,Socket Wrench 110mm 2.5 drive,7/23/1986,"6,768.15","-6,767.15",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-20,685.36","20,686.36",0
2582,0,8/19/1986,2,PC,Impact Wrench,8/19/1986,"8,218.80","-8,217.80",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-153,818.13","153,819.13",0
2668,0,10/9/1986,2,PC,Lever Hoists 1.5 ton cap.,10/9/1986,"8,809.04","-8,808.04",1,005/000,30700040,GEN-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-170,192.63","170,193.63",0
2581,0,1/20/1987,2,PC,35 tonner Screw Jack,1/20/1987,"71,442.00","-71,441.00",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-22,287.99","22,288.99",0
2580,0,1/28/1987,2,PC,Chain Block 10-ton cap.,1/28/1987,"37,467.36","-37,466.36",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-37,477.21","37,478.21",0
2579,0,6/3/1987,1,PC,Jaw Bearing Puller 13-ton,6/3/1987,"2,700.00","-2,699.00",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-262,526.86","262,527.86",0
2578,0,6/7/1987,1,PC,Hydraulic Jack 30-ton cap.,6/7/1987,"2,350.00","-2,349.00",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-85,387.20","85,388.20",0
2577,0,7/3/1987,1,PC,Chain Block 5-ton cap.,7/3/1987,"9,144.38","-9,143.38",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-6,476.14","6,477.14",0
2576,0,10/21/1987,1,PC,HD Air Impact Wrench,10/21/1987,"25,175.00","-25,174.00",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-282,780.92","282,781.92",0
2575,0,4/26/1988,4,PC,Handle Ratchet 500ml 1drive,4/26/1988,"8,640.00","-8,639.00",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-19,635.36","19,636.36",0
2574,0,4/30/1988,1,PC,Fab. of Belt Conveyor Winding Mach.,4/30/1988,"195,951.73","-195,950.73",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-10,839.91","10,840.91",0
2573,0,6/14/1988,2,PC,Hydraulic Jack 20T Cap.,6/14/1988,"14,590.80","-14,589.80",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-19,317.18","19,318.18",0
